proteomics
study - 10.1111/ene.12534
coord
chr1	159587922	159588705	0.027 
chr13	113122856	113149514	0.038 
chr2	215361558	215435802	0.038
chr22	22888054	22895691	0.041 
chr3	15601341	15722516	0.041 
chr3	186666032	186677880	0.038 
chr11	57598271	57614578	0.032 
chr2	21001733	21043945	0.033 
chr3	52794804	52808678	0.038
chr4	109740896	109801971	0.032
chr2	89142574	89143160	0.041
chr1	197038741	197067260	0.021
chr17	40818479	40822585	0.041
chr20	3471108	3646844	0.032
chr12	52645022	52652142	0.038
chr6	31982108	32002537	0.041
chr3	133661998	133796641	0.035
chr2	88947301	88947957	0.032
chr11	46719236	46739405	0.038
chr19	6677885	6720589	0.038
chr6	160702193	160754097	0.041
chr6	24429035	24489511	0.041
chr19	4537943	4540013	0.032
chr7	99967006	99976020	0.038
chr14	94614442	94623811	0.038
chr9	114329905	114333131	0.021
