Linkage			
Linkage			
coor			
chr6	0	3261729	1.68
chr6	3261729	6523458	1.68
chr6	6523458	9785187	1.68
chr6	9785187	13046916	1.68
chr6	13046916	16308645	1.68
chr6	16308647	21478269	4.4
chr6	21478269	26647891	4.4
chr6	26647891	31817513	4.4
chr6	31817513	36987135	4.4
chr6	36987135	42156757	4.4
chr6	42156758	51671051	3.92
chr6	51671051	61185344	3.92
chr6	61185344	70699637	3.92
chr6	70699637	80213930	3.92
chr6	80213930	89728223	3.92
chr6	89728224	97549726	1.99
chr6	97549726	105371228	1.99
chr6	105371228	113192730	1.99
chr6	113192730	121014232	1.99
chr6	121014232	128835734	1.99
chr10	29473068	37353373	2.02
chr10	37353373	45233678	2.02
chr10	45233678	53113983	2.02
chr10	53113983	60994288	2.02
chr10	60994288	68874593	2.02
chr10	68874593	73973523	2.11
chr10	73973523	79072453	2.11
chr10	79072453	84171383	2.11
chr10	84171383	89270313	2.11
chr10	89270313	94369243	2.11
chr11	0	5198930	1.49
chr11	5198930	10397860	1.49
chr11	10397860	10397860	1.49
chr11	15596790	10397860	1.49
chr11	20795720	10397860	1.49
chr18	0	1992314	2.27
chr18	1992314	3984628	2.27
chr18	3984628	5976942	2.27
chr18	5976942	7969256	2.27
chr18	7969256	9961570	2.27
chr20	0	2516915	2.11
chr20	2516915	5033830	2.11
chr20	5033830	7550745	2.11
chr20	7550745	10067660	2.11
chr20	10067660	12584575	2.11
