miRNA			
miRNA - Junker			
coor			
chr22	23165270	23165365	2
chr21	26946292	26946356	2
chr11	75046136	75046230	2
chr17	56408593	56408679	2
chr5	159912359	159912457	2
chr10	104196269	104196341	2
chr1	9211727	9211836	2
chr17	57918627	57918698	2
chr19	13947401	13947473	2
chr1	172113675	172113784	2
chr19	13947254	13947331	2
chr17	56408593	56408679	2
chr17	29887015	29887102	2
chr13	50623255	50623337	2
chr12	7072862	7072929	2
chr11	57408671	57408759	2
chr17	1617197	1617281	2
chrX	65238712	65238821	2
chr8	22102475	22102556	2
chr1	172107938	172108047	2
chr7	25989539	25989606	2
chrX	133303839	133303907	2
chr22	22007593	22007674	2
chr6	72113254	72113324	2
chr7	99691391	99691470	2
chrX	85158641	85158712	2
chr19	46142252	46142345	2
chr9	97847727	97847823	2
chr1	198828173	198828282	2
chr1	110141515	110141589	2
chr5	179442303	179442397	2
chr19	13985513	13985622	2
chr14	101512792	101512875	2
chr16	67236224	67236298	2
chr9	97847490	97847586	2
chr11	72326107	72326174	2
chr15	79502130	79502213	2
chr14	101533061	101533138	2
chr3	188406569	188406654	1.30102999566398
chr15	63116156	63116240	1.30102999566398
chrX	53583184	53583302	1.30102999566398
chr14	101521756	101521828	1.30102999566398
chr9	111808509	111808578	1.30102999566398
chr6	72113254	72113324	1.30102999566398
chr20	57392670	57392749	1.30102999566398
chr12	95702196	95702289	1.30102999566398
chr17	46114527	46114613	1.30102999566398
chr6	72086663	72086734	1.30102999566398
chr19	52196039	52196117	1.30102999566398
chr5	168195151	168195260	1.30102999566398
chrX	49777849	49777945	1.30102999566398
chr9	21512114	21512184	1.30102999566398
chr2	241395418	241395506	1.30102999566398
chr14	101490131	101490193	1.30102999566398
chr14	101348223	101348315	1.30102999566398
chr10	104196269	104196341	1.30102999566398
chr19	13947401	13947473	2
chr1	172113675	172113784	1.30102999566398
chr19	13947254	13947331	1.30102999566398
chr13	50623255	50623337	1.30102999566398
chr12	7072862	7072929	2
chr11	57408671	57408759	2
chr17	1617197	1617281	1.30102999566398
chr1	172107938	172108047	2
chr7	25989539	25989606	2
chrX	133303839	133303907	2
chr6	72113254	72113324	2
chr8	135817119	135817188	2
chrX	49767754	49767844	2
chrX	85158641	85158712	1.30102999566398
chr19	46142252	46142345	2
chr1	198828173	198828282	2
chr5	179442303	179442397	2
chr19	13985513	13985622	1.30102999566398
chr9	97847490	97847586	2
chr14	101533061	101533138	1.30102999566398
chr3	188406569	188406654	2
chr17	6920934	6921020	2
chr15	63116156	63116240	2
chr9	111808509	111808578	1.30102999566398
chr6	72113254	72113324	2
chr17	46114527	46114613	2
chr19	52196039	52196117	1.30102999566398
chrX	49777849	49777945	2
chr2	241395418	241395506	1.30102999566398
